time,signal
703,8.028
704,7.806666667
705,7.405
706,8.191666667
707,7.786666667
708,7.905
709,7.976666667
710,7.05
711,7.196666667
712,7.4
713,6.52
714,6.836666667
715,5.108333333
716,7.813333333
717,5.266666667
718,5.041666667
719,6.288333333
720,6.923333333
721,5.653333333
722,6.065
723,6.471666667
724,5.091666667
725,5.313333333
726,6.606666667
727,6.405
728,6.853333333
729,6.438333333
730,5.111666667
731,7.266666667
732,7.806
733,6.018333333
734,6.853333333
735,5.963333333
736,6.751666667
737,6.803333333
738,6.023333333
739,4.916666667
740,5.403333333
741,5.673333333
742,5.293333333
743,4.141666667
744,3.901666667
745,3.426666667
746,4.403333333
747,5.025
748,5.346666667
749,5.31
750,5.136666667
751,5.163333333
752,4.803333333
753,5.335
754,5.221666667
755,6.043333333
756,7.29
757,6.713333333
758,6.58
759,7.151666667
760,7.041666667
761,7.7475
762,6.768333333
763,6.435
764,6.19
765,5.668333333
766,5.783333333
767,6.871666667
768,6.46
769,4.571666667
770,5.35
771,6.75
772,7.755
773,8.64
774,8.84
775,8.126666667
776,8.5
777,7.72
778,7.1
779,6.97
780,9.25
781,9.65
782,9.77
783,9.52
784,7.82
785,7.69
786,8.595
787,9.75
788,8.96
789,8.81
790,9.943333333
791,7.89
792,8.44
793,7.641666667
794,6.856666667
795,7.31
796,7.963333333
797,8.864
798,7.606666667
799,7.151666667
800,6.851666667
801,5.66
802,5.661666667
803,7.41
804,8.524
805,7.255
806,5.33
807,5.226666667
808,6.32
809,6.841666667
810,6.251666667
811,6.563333333
812,6.436666667
813,6.278333333
814,6.518333333
815,7.401666667
816,6.26
817,8.091666667
818,7.313333333
819,7.85
820,7.745
821,8.38
822,7.471666667
823,8.02
824,8.44
825,9.748
826,8.91
827,7.495
828,4.8675
829,4.043333333
830,4.765
831,7.465
832,7.77
833,9.615
834,8.25
835,8.8975
836,10.425
837,8.676666667
838,9.346666667
839,9.66
840,9.84
841,8.705
842,7.591666667
843,7.658333333
844,7.526666667
845,8.178333333
846,8.946666667
847,10.83333333
848,10.59
849,9.065
850,8.25
851,8.52
852,7.86
853,7.55
854,10
855,10.026
856,11.07
857,12.14
858,11.116
859,8.831666667
860,8.836666667
861,7.51
862,7.973333333
863,7.383333333
864,7.433333333
865,6.876666667
866,8.878333333
867,8.371666667
868,7.72
869,8.45
870,8.645
871,7.778333333
872,9.073333333
873,7.053333333
874,7.174
875,7.1375
876,8.08
877,8.488333333
878,6.88
879,8.423333333
880,8.44
881,9.2225
882,8.386666667
883,8.541666667
884,8.126666667
885,9.028333333
886,8.836666667
887,6.91
888,7.121666667
889,7.153333333
890,6.51
891,6.07
892,5.555
893,5.908333333
894,5.723333333
895,5.343333333
896,4.858333333
897,4.01
898,3.12
899,3.25
900,3.1
901,4.09
902,3.6175
903,3.13
904,2.715
905,3.46
906,3.23
907,2.97
908,3.25
909,3.26
910,4.41
911,5.53
912,7.216666667
913,7.278333333
914,8.725
915,9.161666667
916,8.225
917,8.28
918,7.645
919,7.44
920,7.905
921,7.941666667
922,8.67
923,7.395
924,7.561666667
925,7.07
926,9.558333333
927,9.783333333
928,9.06
929,7.43
930,7.266666667
931,7.32
932,7.86
933,7.686666667
934,7.6075
935,9.456666667
936,10.67
937,10.2875
938,9.454
939,9.7075
940,9.76
941,9.621666667
942,9.445
943,10.248
944,9.902
945,9.693333333
946,8.531666667
947,7.375
948,7.368333333
949,7.413333333
950,7.288333333
951,6.34
952,7.203333333
953,6.445
954,7.705
955,8.556666667
956,8.418333333
957,7.428333333
958,8.225
959,7.12
960,9.058333333
961,8.268333333
962,7.111666667
963,6.996666667
964,6.933333333
965,6.875
966,6.461666667
967,6.753333333
968,7.41
969,6.88
970,6.135
971,6.775
972,6.906666667
973,7.105
974,7.385
975,7.196666667
976,7.89
977,8.728333333
978,8.862
979,9.67
980,9.885
981,12.48
982,10.8825
983,9.57
984,8.9125
985,9.006666667
986,10.88
987,11.05
988,10.9675
989,10.94
990,10.495
991,9.996666667
992,8.92
993,10.0875
994,9.056
995,10.45833333
996,9.91
997,8.768333333
998,9.646666667
999,9.265
1000,9.501666667
1001,9.418333333
1002,9.368333333
1003,8.886666667
1004,8.533333333
1005,7.945
1006,7.665
1007,6.438333333
1008,6.715
1009,6.975
1010,7.023333333
1011,7.053333333
1012,6.665
1013,6.416666667
1014,6.958333333
1015,5.916666667
1016,5.713333333
1017,5.618333333
1018,5.356666667
1019,4.851666667
1020,4.748333333
1021,3.983333333
1022,4.14
1023,4.27
1024,4.345
1025,4.903333333
1026,4.723333333
1027,5.326666667
1028,5.588333333
1029,5.875
1030,5.406666667
1031,5.496666667
1032,5.538333333
1033,4.95
1034,4.923333333
1035,4.206666667
1036,3.72
1037,4.828333333
1038,4.655
1039,3.423333333
1040,2.8
1041,3.24
1042,4.95
1043,4.5175
1044,4.93
1045,2.7
1046,2.95
1047,4.435
1048,4.326666667
1049,4.318333333
1050,5.073333333
1051,5.598333333
1052,5.02
1053,5.59
1054,5.741666667
1055,5.43
1056,6
1057,5.43
1058,5.2275
1059,4.725
1060,5.69
1061,5.266666667
1062,5.34
