Time,Signal
709.00,1.13
710.00,1.89
711.00,2.27
712.00,1.89
713.00,3.79
714.00,4.17
715.00,3.03
716.00,4.54
717.00,4.17
718.00,3.41
719.00,2.27
720.00,3.41
721.00,3.41
722.00,5.68
723.00,5.30
724.00,5.30
725.00,7.20
726.00,8.72
727.00,6.82
728.00,9.10
729.00,7.58
730.00,7.96
731.00,6.82
732.00,7.20
733.00,8.34
734.00,8.34
735.00,8.34
736.00,7.58
737.00,7.58
738.00,9.10
739.00,8.72
740.00,7.96
741.00,7.96
742.00,6.82
743.00,6.82
744.00,7.20
745.00,6.44
746.00,7.58
747.00,7.20
748.00,6.82
749.00,7.58
750.00,11.76
751.00,11.38
752.00,10.24
753.00,11.00
754.00,15.55
755.00,15.55
756.00,11.38
757.00,13.27
758.00,14.79
759.00,16.31
760.00,15.17
761.00,12.51
762.00,11.76
763.00,11.76
764.00,11.76
765.00,10.62
766.00,9.48
767.00,11.00
768.00,10.62
769.00,12.13
770.00,12.13
771.00,10.62
772.00,10.24
773.00,9.86
774.00,11.00
775.00,12.51
776.00,14.79
777.00,14.79
778.00,11.00
779.00,12.13
780.00,14.41
781.00,13.65
782.00,13.27
783.00,11.00
784.00,7.96
785.00,7.96
786.00,9.48
787.00,12.13
788.00,11.76
789.00,11.38
790.00,11.38
791.00,9.86
792.00,10.62
793.00,9.10
794.00,8.72
795.00,8.34
796.00,7.20
797.00,4.92
798.00,3.79
799.00,3.79
800.00,3.03
801.00,5.30
802.00,6.06
803.00,5.68
804.00,6.82
805.00,5.68
806.00,7.58
807.00,6.82
808.00,6.82
809.00,5.30
810.00,4.54
811.00,3.79
812.00,4.54
813.00,5.30
814.00,4.92
815.00,3.79
816.00,4.92
817.00,4.17
818.00,5.30
819.00,4.92
820.00,5.68
821.00,4.92
822.00,4.54
823.00,4.54
824.00,4.54
825.00,4.54
826.00,2.27
827.00,4.17
828.00,3.79
829.00,2.65
830.00,4.92
831.00,3.41
832.00,3.79
833.00,2.27
834.00,3.79
835.00,3.79
836.00,5.30
837.00,4.92
838.00,4.54
839.00,4.92
840.00,4.92
841.00,3.41
842.00,3.41
843.00,3.41
844.00,4.54
845.00,4.54
846.00,3.79
847.00,3.41
848.00,4.17
849.00,3.41
850.00,2.65
851.00,4.17
852.00,3.79
853.00,6.06
854.00,7.96
855.00,7.96
856.00,7.96
857.00,6.82
858.00,6.82
859.00,4.92
860.00,6.82
861.00,7.58
862.00,7.20
863.00,8.72
864.00,8.72
865.00,8.34
866.00,8.72
867.00,9.10
868.00,7.58
869.00,6.06
870.00,6.06
871.00,7.58
872.00,6.82
873.00,6.06
874.00,5.68
875.00,7.20
876.00,6.06
877.00,5.68
878.00,7.20
879.00,6.82
880.00,6.44
881.00,6.06
882.00,5.68
883.00,6.06
884.00,5.68
885.00,5.68
886.00,4.92
887.00,5.68
888.00,5.30
889.00,4.92
890.00,6.06
891.00,5.68
892.00,5.68
893.00,6.06
894.00,4.92
895.00,5.30
896.00,3.79
897.00,3.41
898.00,2.27
899.00,2.65
900.00,3.41
901.00,1.89
902.00,1.89
903.00,2.65
904.00,1.51
905.00,0.37
906.00,0.37
907.00,0.37
908.00,2.27
909.00,2.27
910.00,2.27
911.00,3.03
912.00,1.51
913.00,3.03
914.00,6.06
915.00,5.30
916.00,4.54
917.00,4.54
918.00,5.68
919.00,4.54
920.00,3.79
921.00,3.41
922.00,3.03
923.00,2.27
924.00,2.65
925.00,0.37
926.00,1.51
927.00,3.03
928.00,3.79
929.00,3.41
930.00,1.89
931.00,1.13
932.00,2.65
933.00,1.89
934.00,0.37
935.00,0.37
936.00,1.51
937.00,0.37
938.00,1.13
939.00,3.03
940.00,5.30
941.00,5.68
942.00,5.30
943.00,2.27
944.00,3.79
945.00,9.48
946.00,6.44
947.00,4.17
948.00,6.44
949.00,4.92
950.00,4.92
951.00,6.82
952.00,6.44
953.00,1.89
954.00,1.51
955.00,1.51
956.00,1.89
957.00,1.89
958.00,3.03
959.00,4.17
960.00,4.54
961.00,4.54
962.00,4.17
963.00,3.79
964.00,3.41
965.00,5.30
966.00,4.54
967.00,4.54
968.00,4.54
969.00,4.17
970.00,3.79
971.00,6.82
972.00,6.06
973.00,6.82
974.00,7.20
975.00,6.82
976.00,5.68
977.00,4.54
978.00,4.92
979.00,4.54
980.00,6.06
981.00,7.58
982.00,8.72
983.00,7.58
984.00,8.72
985.00,9.10
986.00,8.72
987.00,9.10
988.00,9.10
989.00,8.34
990.00,9.10
991.00,11.00
992.00,11.38
993.00,9.86
994.00,10.62
995.00,9.86
996.00,11.38
997.00,11.76
998.00,11.76
999.00,11.38
1000.00,13.27
1001.00,12.51
1002.00,11.76
1003.00,10.24
1004.00,9.86
1005.00,11.76
1006.00,11.00
1007.00,10.62
1008.00,9.48
